date,nation,visitor,growth,share,age0-20,age21-30,age31-40,age41-50,age51-60,age61,error_count,male,female,crewman,tourism,business,official_affairs,studying,others
2019-01-01,Norway,801,-0.19335347432024172,0.0007250161340981152,41,168,139,139,144,57,113,511,177,113,552,66,4,28,151
2019-01-01,Sweden,982,0.0424628450106157,0.0008888462467969402,69,217,187,206,196,69,38,664,280,38,844,29,6,18,85
2019-01-01,Poland,1324,-0.11968085106382975,0.0011984036973107424,35,214,284,168,61,39,523,559,242,523,713,10,0,27,574
2019-01-01,Swiss,747,-0.293282876064333,0.0006761386419117254,41,166,120,128,164,81,47,493,207,47,613,18,0,19,97
2019-01-01,Portugal,564,-0.047297297297297265,0.0005104982517245155,27,142,119,88,73,18,97,256,211,97,416,14,0,13,121
2019-01-01,Austria,776,-0.023899371069182385,0.0007023876654933052,33,151,144,129,114,78,127,480,169,127,544,8,2,13,209
2019-01-01,Finland,859,-0.13841524573721162,0.0007775141812612746,20,127,116,100,82,24,390,314,155,390,412,23,1,18,405
2019-01-01,Belgium,709,-0.060927152317880824,0.0006417433696324143,28,134,142,133,129,39,104,460,145,104,490,24,4,22,169
2019-01-01,Croatia,491,-0.0040567951318458695,0.00044442312339847015,6,57,74,58,46,12,238,224,29,238,226,12,0,3,250
2019-01-01,Greece,775,0.08848314606741582,0.0007014825267491128,7,95,164,130,72,51,256,475,44,256,481,17,4,0,273
2019-01-01,Bulgaria,431,0.17759562841530063,0.0003901147987469259,3,38,49,46,28,15,252,140,39,252,154,1,1,10,265
2019-01-01,Denmark,751,0.07439198855507878,0.000679759196888495,56,130,101,168,124,52,120,478,153,120,520,21,6,16,188
2019-01-01,Ireland,595,0.0050675675675675436,0.0005385575527944801,23,140,151,105,77,46,53,379,163,53,392,15,1,2,185
2019-01-01,Europe others,2965,0.2323358270989193,0.0026837363765304773,187,533,556,428,261,144,856,1282,827,856,1809,44,25,91,996
2019-01-01,Austrailia,14285,0.22219370294318952,0.012929906960788485,3194,3154,2068,2471,1937,1165,296,7126,6863,296,12795,93,17,34,1346
2019-01-01,New Zealand,2725,0.024821361414065546,0.0024665030779242995,438,611,484,350,442,239,161,1376,1188,161,2029,20,17,5,654
2019-01-01,Oceania others,614,0.11231884057971019,0.0005557551889341358,68,124,199,106,48,27,42,356,216,42,555,3,4,0,52
2019-01-01,South Africa,1000,0.10741971207087486,0.0009051387441924035,36,371,236,94,59,47,157,390,453,157,368,9,1,6,616
2019-01-01,Africa others,2690,0.1982182628062361,0.002434823221877565,68,630,671,403,186,51,681,1596,413,681,768,718,90,206,908
2019-01-01,Stateless,54,-0.18181818181818177,4.887749218638979e-05,1,10,10,14,4,2,13,32,9,13,33,4,0,1,16
2019-01-01,Overseas Korean,15526,-0.19118566367993328,0.014053184142331261,439,1163,1618,3202,4785,4319,0,6475,9051,0,0,0,0,0,15526
2019-02-01,China,453379,0.31284440596396035,0.37724933058856613,33333,136272,122438,64289,51696,35050,10301,191410,251668,10301,324291,2694,143,38731,87520
2019-02-01,Japan,213200,0.26722974780225983,0.1774002705936585,26804,75150,29004,33255,29288,17457,2242,70961,139997,2242,204697,2125,119,2084,4175
2019-02-01,Taiwan,94559,0.07360688496298652,0.07868101401062738,15862,22177,20705,17971,11158,5887,799,34304,59456,799,92276,105,20,908,1250
2019-02-01,Hong Kong,51312,0.014271595176912344,0.04269588501267264,9786,8163,9141,11687,7666,3943,926,20802,29584,926,49695,54,3,489,1071
2019-02-01,Macao,3966,-0.17956143980140674,0.0033000444332760303,830,954,848,637,374,286,37,1478,2451,37,3890,1,0,33,42
2019-02-01,Phillipines,29294,0.08444082478806504,0.024375063446391336,1180,4784,5551,3271,1991,980,11537,9935,7822,11537,15541,171,57,189,13336
2019-02-01,Indonesia,18115,0.22905217450301923,0.015073198413715403,1685,4133,3733,2652,1612,613,3687,7122,7306,3687,12172,147,72,697,5027
2019-02-01,Thailand,39220,-0.09689601178962884,0.032634327451610164,2211,10257,11089,5719,3213,1843,4888,12303,22029,4888,32074,56,180,332,6578
2019-02-01,Vietnam,42181,0.7211114738044719,0.035098127644986446,6076,14050,9178,4455,2580,1156,4686,20381,17114,4686,20071,806,98,9324,11882
2019-02-01,India,8309,0.17143662766107437,0.006913784466992067,238,1610,2346,1284,479,177,2175,5147,987,2175,2372,2303,102,360,3172
2019-02-01,Malaysia,27484,0.21993874561676047,0.022868991730750986,4445,7261,5212,3630,3141,1511,2284,11044,14156,2284,24047,136,2,604,2695
2019-02-01,Singapore,9792,0.07687231936654569,0.008147764773232197,735,2124,1987,1749,1386,738,1073,4192,4527,1073,8228,114,6,257,1187
2019-02-01,Mongolia,9176,0.030895405010672894,0.007635201139622001,952,1934,2819,2055,990,384,42,4669,4465,42,6670,109,314,1152,931
2019-02-01,Uzbekistan,7149,0.28003581020590856,0.005948567234868971,417,2255,2217,1145,441,231,443,5008,1698,443,2165,716,5,1217,3046
2019-02-01,Myanmar,5367,0.011687087653157402,0.004465793866210907,68,1399,1074,319,94,27,2386,2586,395,2386,1107,13,25,231,3991
2019-02-01,*GCC,1478,0.16103692065985858,0.0012298198871361506,162,432,456,198,134,64,32,994,452,32,1143,27,9,192,107
2019-02-01,Kazakhstan,3774,-0.19479411137187966,0.0031402843396832417,455,1027,896,555,330,231,280,1646,1848,280,1924,21,3,404,1422
2019-02-01,Turkey,1765,-0.06909282700421937,0.001468627943704537,40,314,259,171,71,48,862,604,299,862,664,13,29,151,908
2019-02-01,Cambodia,3715,0.4388071262587141,0.0030911913942562918,255,1543,1094,223,170,158,272,2261,1182,272,1473,53,92,147,1950
2019-02-01,Sri Lanka,1516,0.3148308759757155,0.0012614390723263902,9,469,661,148,60,14,155,1240,121,155,241,52,0,48,1175
2019-02-01,Bangladesh,1656,0.33333333333333326,0.001377930807237798,61,529,568,142,45,16,295,1198,163,295,228,83,38,265,1042
2019-02-01,Pakistan,1439,0.10607225211375869,0.0011973686181251154,89,568,474,196,69,18,25,1217,197,25,257,290,11,463,418
2019-02-01,Israel,761,0.0673211781206171,0.0006332157876255823,25,78,132,177,116,227,6,542,213,6,694,15,1,14,37
2019-02-01,Iran,329,-0.3985374771480805,0.0002737555770418089,11,65,118,53,28,6,48,191,90,48,99,67,5,64,94
2019-02-01,Asia others,5150,0.12988152698552005,0.004285231677098224,288,1785,1593,606,282,118,478,3443,1229,478,1635,383,157,537,2438
