country,bus_regi,bus_ease,cost_startup,time_startup,foreign_invest,income,life_exp,pop_density
Tunisia,1.68,78.0,0.0,9.0,0.0248,11100.0,78.7,75.3
Turkey,1.56,33.0,0.0,7.0,0.0169,25000.0,79.5,108.0
Uganda,0.8640000000000001,116.0,0.0,24.0,0.0487,1870.0,66.6,222.0
Ukraine,,64.0,0.0,6.5,0.0189,8480.0,70.8,75.9
United Arab Emirates,3.04,16.0,0.0,3.8,0.0251,65700.0,73.6,117.0
United Kingdom,15.6,8.0,0.0,4.5,0.0123,40400.0,81.1,279.0
Uruguay,1.26,101.0,0.0,6.5,0.0197,20900.0,77.3,19.8
Uzbekistan,1.63,69.0,0.0,3.0,0.0124,6490.0,70.7,77.5
Vanuatu,1.53,107.0,0.0,18.0,0.0411,2890.0,65.0,24.6
Vietnam,,70.0,0.0,16.0,0.0632,6970.0,74.7,311.0
Zambia,1.11,85.0,0.0,8.5,0.0153,3700.0,64.0,24.0
Zimbabwe,2.13,140.0,0.0,27.0,0.024,2390.0,62.0,37.9
Angola,,177.0,0.0,36.0,-0.0542,5540.0,65.0,25.5
Bahamas,,119.0,0.0,11.5,0.0396,28800.0,74.1,38.9
Barbados,,128.0,0.0,16.0,0.0379,16600.0,77.3,667.0
Burundi,,166.0,0.0,5.0,0.000324,644.0,62.3,449.0
Cameroon,,167.0,12.0,13.5,0.0198,3400.0,63.8,54.7
China,,31.0,0.0,8.6,0.015,17100.0,77.5,153.0
"Congo, Rep.",,180.0,2.3,49.5,0.38299999999999995,5100.0,63.3,15.8
Djibouti,,112.0,0.0,14.0,0.0897,3600.0,68.6,42.0
Ecuador,,129.0,0.0,48.5,0.013000000000000001,10200.0,77.2,70.0
Egypt,,114.0,0.0,12.5,0.0271,11400.0,71.0,101.0
Equatorial Guinea,,178.0,22.8,33.0,0.0295,19200.0,66.3,48.3
Eritrea,,189.0,93.6,84.0,,1390.0,63.4,34.6
Fiji,,102.0,0.0,40.0,0.0847,9990.0,68.3,48.7
Gambia,,155.0,0.0,8.0,0.0202,1570.0,66.4,232.0
Guinea-Bissau,,174.0,5.8,8.5,0.0141,1630.0,60.7,68.3
Guyana,,134.0,0.0,18.0,0.304,7930.0,69.5,3.98
Honduras,,133.0,0.0,42.0,0.0602,4630.0,74.3,87.1
Lebanon,,143.0,41.5,15.0,0.0465,11700.0,78.1,670.0
Libya,,186.0,30.0,35.0,,14800.0,73.3,3.85
Marshall Islands,,153.0,0.0,17.0,0.0441,3630.0,,327.0
Mozambique,,138.0,0.0,17.0,0.182,1170.0,59.9,38.6
Nicaragua,,142.0,0.0,14.0,0.0274,4620.0,79.2,54.4
Palau,,145.0,5.9,28.0,0.0757,17400.0,,39.1
Palestine,,117.0,0.0,43.5,0.018000000000000002,4670.0,77.2,827.0
Papua New Guinea,,120.0,0.0,41.0,0.0143,3930.0,58.9,19.4
San Marino,,92.0,0.0,11.5,,57800.0,,564.0
Solomon Islands,,136.0,0.0,9.0,0.00864,2150.0,68.9,23.9
Somalia,,190.0,0.0,70.0,0.0866,631.0,59.2,24.6
St. Kitts and Nevis,,139.0,0.0,18.5,0.0926,29000.0,,203.0
Sudan,,171.0,0.0,34.5,0.0278,4510.0,70.8,24.3
Swaziland,,121.0,0.2,21.5,0.006640000000000001,9560.0,61.8,66.8
Syria,,176.0,88.3,15.5,,2900.0,71.5,93.0
Trinidad and Tobago,,105.0,0.0,10.5,-0.0253,28500.0,74.5,272.0
United States,,6.0,0.0,4.2,0.0126,56700.0,78.6,36.0
Venezuela,,188.0,0.0,230.0,,9720.0,75.1,32.3
Yemen,,187.0,0.0,40.5,-0.0105,2340.0,68.1,55.2
Nauru,,,,,0.0,13600.0,,538.0
Turkmenistan,,,,,0.0487,17600.0,70.3,12.6
Tuvalu,,,,,0.00702,3730.0,,389.0
Andorra,,,,,,53200.0,,164.0
Cuba,,,,,,8130.0,78.5,106.0
Monaco,,,,,,61400.0,,26200.0
North Korea,,,,,,1720.0,72.4,213.0
Holy See,,,,,,,,1850.0
